band,station_idx,t,month_t,u_hat_t,v_hat_t,h_hat_t,u_ref_t,v_ref_t,month_s,u_hat_s,v_hat_s,h_hat_s,u_ref_s,v_ref_s
C14,834,1761566400000000000,2025-10,1.6072524785995483,-4.3634352684021,2072.386474609375,0.8467861078745045,-9.460673797488255,2025-10,1.1512255668640137,-4.623240947723389,1178.0853271484375,-1.0215550504220428,-7.7284264177709945
C14,845,1761566400000000000,2025-10,1.648252010345459,6.328259468078613,3863.973388671875,-3.4853029327368836,15.383856700095967,2025-10,0.7532813549041748,5.513723373413086,1380.22998046875,-4.2304081230683765,11.200807059811957
C14,863,1761609600000000000,2025-10,-1.1830379962921143,1.904878854751587,6998.8486328125,-0.812993347171271,0.5868521921695458,2025-10,-1.0522713661193848,3.124413013458252,1653.2850341796875,-9.69174275933629,5.081427570215871
C14,241,1761652800000000000,2025-10,-1.8557106256484985,1.3597290515899658,1142.5892333984375,-1.801745227786076,0.9238933377875602,2025-10,-0.4873836040496826,1.8964204788208008,1863.7628173828125,-0.4429689796168421,-3.2517023268321212
C14,522,1761696000000000000,2025-10,3.619765281677246,-4.501992702484131,1708.7847900390625,-1.5918993640315793,-3.5462337607340513,2025-10,3.380840539932251,-1.7431226968765259,2442.56787109375,-0.9867942658229735,-2.817419688662934
C14,523,1761696000000000000,2025-10,5.7866129875183105,-3.9337198734283447,2016.44287109375,0.02397059802664603,-6.956797268546804,2025-10,5.981887340545654,-4.340388774871826,3360.466552734375,5.715729381456313,-2.4389976836289384
C14,527,1761696000000000000,2025-10,1.5264805555343628,-7.7854695320129395,1945.7344970703125,1.2190231497102195,-6.059842659059406,2025-10,2.1653456687927246,-6.622434139251709,2961.8515625,2.63078351021582,-3.403977421879632
C14,811,1761696000000000000,2025-10,6.199605464935303,1.300349473953247,4590.97607421875,10.637409113526003,-0.7316360065504319,2025-10,5.0241522789001465,0.8204198479652405,1566.28369140625,-9.549757370969221,-5.673583004555579
C14,815,1761696000000000000,2025-10,12.81264877319336,-12.233881950378418,2724.380859375,11.00590784343104,-17.307499709368955,2025-10,11.791313171386719,-13.210192680358887,2112.8154296875,9.52084024456382,-16.83853701286644
C14,532,1761739200000000000,2025-10,2.3114640712738037,-5.270603656768799,2178.858642578125,-0.6507260220532058,-7.872672675675256,2025-10,3.3443422317504883,-4.916864395141602,2688.408935546875,-2.446555770416151,-6.853316524390994
C14,800,1761739200000000000,2025-10,16.611997604370117,-5.3947062492370605,1536.6319580078125,14.26737380333067,-5.584427513608631,2025-10,13.773641586303711,-5.8727545738220215,3735.86572265625,33.54580290034197,2.9983557183645626
C14,815,1761739200000000000,2025-10,5.013645648956299,-8.934859275817871,1471.1304931640625,5.264516365300355,-30.64138071199076,2025-10,5.520090579986572,-9.28455638885498,1418.978271484375,5.58035303190341,-29.805641720995258
C14,527,1761782400000000000,2025-10,6.050498008728027,-10.54214859008789,1374.845703125,2.3133437183515095,-10.727639727067103,2025-10,6.67344331741333,-8.556890487670898,1482.939697265625,1.9894459350419684,-10.659807402688374
C14,533,1761782400000000000,2025-10,2.1157469749450684,-4.997584342956543,2802.65380859375,3.4123611131236316,-4.366115091295985,2025-10,1.3532943725585938,-4.078052997589111,3040.3388671875,3.904863104564711,-3.4388697705857743
C14,791,1761782400000000000,2025-10,6.885772705078125,-4.943838119506836,1380.7476806640625,6.623380730021585,0.8829428700465665,2025-10,5.50525426864624,-4.516429901123047,1999.296630859375,6.8196840640026455,1.3982023010802243
C14,799,1761782400000000000,2025-10,12.255967140197754,-8.9899320602417,1391.9703369140625,14.691648452671604,-9.45146026381407,2025-10,9.588319778442383,-7.778568267822266,3758.060302734375,14.488330637851394,-12.179735616683027
C14,801,1761782400000000000,2025-10,9.659335136413574,-11.023621559143066,1174.89453125,8.959921535625195,-10.045835030745575,2025-10,7.34954309463501,-9.607324600219727,3391.803955078125,12.740216310413317,-16.254392400985566
C14,815,1761782400000000000,2025-10,5.7795729637146,-9.64185619354248,1697.0286865234375,2.280771047613838,-12.913956134160774,2025-10,5.857177257537842,-10.28608512878418,1414.030029296875,1.916578866037586,-12.88852064466062
C14,829,1761782400000000000,2025-10,-0.12871894240379333,-12.412851333618164,1975.4384765625,-3.407158373994152,-13.362089727495707,2025-10,-0.18554377555847168,-11.248066902160645,1533.1893310546875,-3.318954815602478,-13.296491369156378
C14,529,1761825600000000000,2025-10,7.77493953704834,-8.160135269165039,1559.3734130859375,3.6108920678021748,-6.23529842303833,2025-10,6.172519207000732,-7.333280563354492,2834.820556640625,7.729088697713227,-6.20330812393222
C14,532,1761825600000000000,2025-10,2.4146296977996826,-4.865582466125488,1784.6739501953125,2.676499845778716,-10.373967744351074,2025-10,2.6314291954040527,-5.369657516479492,1992.301025390625,2.3306608253190877,-9.43605171925595
C14,533,1761825600000000000,2025-10,3.6949422359466553,-4.799631595611572,2848.566162109375,-3.2683937920947654,-4.97839714439321,2025-10,2.8997416496276855,-4.397539138793945,2391.357421875,-2.778692601922044,-6.967277465098293
C14,821,1761825600000000000,2025-10,0.4789937436580658,-0.3789292871952057,1454.650146484375,-0.32944634523040855,-2.044133185009493,2025-10,3.351560592651367,2.6864848136901855,1176.4874267578125,-0.10790925098196566,-2.671234102851348
C14,862,1761825600000000000,2025-10,4.658697605133057,-6.1528825759887695,2840.75146484375,1.345670108502941,-7.506809291541047,2025-10,4.5462541580200195,-6.426001071929932,1564.8656005859375,-0.6526264630770425,-6.618263269792353
C14,863,1761825600000000000,2025-10,5.602081775665283,-7.241550445556641,2463.283935546875,-3.1271536622936793,-15.976576027281375,2025-10,4.4750142097473145,-7.622307777404785,1404.6048583984375,-2.9078954058398843,-12.361292786153912
C14,527,1761868800000000000,2025-10,8.119641304016113,-5.936692237854004,2002.64111328125,8.006725537639753,-4.5008809645201175,2025-10,7.209183216094971,-5.436580181121826,3087.548828125,8.921988307216926,-2.5380940153643405
C14,529,1761868800000000000,2025-10,7.627106189727783,-5.458165645599365,1845.5419921875,5.238011005922457,-4.201364396430335,2025-10,6.0835700035095215,-5.062899112701416,2986.60888671875,8.638605612710089,-3.4738271423718916
C14,532,1761868800000000000,2025-10,0.9923492670059204,-0.05243236944079399,2901.339599609375,0.9335340166629251,-0.182122922858737,2025-10,0.5194815397262573,0.6297134757041931,2783.219482421875,1.1659507725001044,0.14731046157061733
C14,791,1761868800000000000,2025-10,8.780121803283691,-4.457016944885254,1977.9061279296875,10.973055933782561,-1.8451562444422747,2025-10,7.5791707038879395,-4.714932918548584,2941.77001953125,18.238062416940572,4.48416982824301
C14,792,1761868800000000000,2025-10,11.044820785522461,-4.0802507400512695,1601.69775390625,8.662194443141509,-2.2286957851112152,2025-10,9.300651550292969,-4.205721855163574,2596.376220703125,11.279881333277029,-0.7471530605190685
C14,795,1761868800000000000,2025-10,11.190033912658691,-5.885064601898193,1406.676025390625,12.738730436160623,-4.609479268138539,2025-10,9.206472396850586,-5.384291648864746,2510.951904296875,12.760320886463438,-4.953415607952965
C14,811,1761868800000000000,2025-10,13.256004333496094,-5.99378776550293,1303.585693359375,9.834169937409099,-2.2839209133734553,2025-10,13.244550704956055,-7.070742130279541,2413.611328125,14.134867679586426,-2.2220210334570663
C14,812,1761868800000000000,2025-10,11.9448823928833,-5.732730388641357,1550.5518798828125,16.40922184788259,-3.8775730572499443,2025-10,11.555450439453125,-6.395232677459717,2284.640380859375,14.97849828882907,-3.9119774593055183
C14,813,1761868800000000000,2025-10,8.540142059326172,-6.336804389953613,1125.44189453125,7.791390438896302,-6.285231188184978,2025-10,7.0566277503967285,-6.506977081298828,1473.7825927734375,7.7504495684340045,-7.093948314450521
C14,827,1761868800000000000,2025-10,8.257428169250488,-4.58530855178833,1400.5894775390625,8.289852511516795,-4.921988587973365,2025-10,5.379489421844482,-3.0902884006500244,1111.2103271484375,7.19386387145634,-4.033782356985198
C14,527,1761912000000000000,2025-10,5.164952754974365,-3.671107292175293,1941.3123779296875,5.869354726911414,-3.847175723244843,2025-10,3.8191208839416504,-3.5582613945007324,2458.51220703125,8.346880376557937,-2.6606651893111004
C14,529,1761912000000000000,2025-10,4.192091464996338,-3.817211389541626,2135.8603515625,4.720925971712012,-3.018572239071826,2025-10,2.763202667236328,-3.288487434387207,2394.10546875,5.776094688576011,-2.8671724768579283
C14,814,1761912000000000000,2025-10,5.9566168785095215,0.3163929283618927,1211.3001708984375,1.5746404366462345,-8.256750670746634,2025-10,4.686762809753418,-0.3170550465583801,1013.11181640625,1.6182060044884357,-8.044670221487717
C14,825,1761912000000000000,2025-10,12.803447723388672,-5.4258856773376465,1239.4486083984375,19.85138217134371,-10.336061340893085,2025-10,10.560586929321289,-4.733800411224365,1430.2320556640625,21.325478740696855,-11.944509842966397
C14,241,1761998400000000000,2025-11,-1.4282808303833008,1.2619067430496216,1377.607177734375,-3.6333040304063977,-4.134429736527893,2025-11,-2.2543692588806152,2.12275767326355,2215.868896484375,-2.3780433734866357,-4.671648174258026
C14,242,1761998400000000000,2025-11,-2.7613139152526855,2.9660110473632812,2165.963134765625,-3.075758867954007,-0.7545146273602974,2025-11,-1.9825553894042969,3.332592487335205,1152.73046875,-2.5312442121158396,4.211239773250011
C14,821,1761998400000000000,2025-11,1.0692028999328613,-1.2644635438919067,1708.295166015625,1.20114992826196,-0.2664292630848687,2025-11,1.9634909629821777,1.85679030418396,1124.4034423828125,-1.0873882888912256,-0.6969358278306378
C14,832,1761998400000000000,2025-11,1.3864723443984985,-1.5886814594268799,1158.1473388671875,1.077284798875812,-0.8531710566770256,2025-11,5.393089771270752,2.0225327014923096,1072.9742431640625,0.9492105729719749,-0.68796429960803
C14,843,1761998400000000000,2025-11,6.18404483795166,-3.382272720336914,2708.86376953125,2.208177960263138,-2.452579495056421,2025-11,5.00553035736084,-3.382100820541382,1546.42724609375,2.0996043703930867,-3.944109005367139
C14,525,1762041600000000000,2025-11,3.280926465988159,-2.539846181869507,3324.736083984375,-7.878720560978697,0.1170816793025874,2025-11,3.730339765548706,-0.7262753844261169,2734.7763671875,-6.618316466021065,1.0979291394706339
C14,527,1762041600000000000,2025-11,-1.1770529747009277,-0.5816878080368042,1841.1490478515625,1.2274619637928033,1.6836487070130393,2025-11,-1.0700467824935913,0.26430195569992065,1465.431640625,-0.6467307626912469,1.825927450993428
C14,529,1762041600000000000,2025-11,-2.031428337097168,0.9614260792732239,1939.7860107421875,-0.8912122375565688,0.7526021258821802,2025-11,0.6513705253601074,2.081432580947876,1701.43408203125,-1.9121482096608293,1.3878286339163668
C14,791,1762041600000000000,2025-11,1.0136163234710693,4.713034629821777,1775.374755859375,0.024406879139319437,5.06552481620904,2025-11,-0.06159019470214844,4.966243743896484,2711.094970703125,-1.097866387649673,7.300349971892522
C14,804,1762041600000000000,2025-11,17.980892181396484,-5.511829376220703,4173.47265625,17.61669604562089,-1.6365825864912262,2025-11,15.387554168701172,-5.1242523193359375,5610.56884765625,23.674464753191188,-6.797275475130173
C14,843,1762041600000000000,2025-11,7.448678970336914,-2.16483211517334,2214.243408203125,2.280789204803822,-0.6526033742287867,2025-11,5.224989414215088,-1.1333105564117432,1517.41748046875,4.693875777484937,1.7063753286253354
C14,844,1762041600000000000,2025-11,4.501590728759766,-4.9917521476745605,2164.8193359375,1.2023641916511392,-3.9367733351494736,2025-11,3.8930792808532715,-5.590844631195068,1207.1185302734375,1.9396053835144473,-3.826560444799118
C14,524,1762084800000000000,2025-11,1.568278431892395,-1.453324794769287,1505.9356689453125,-4.961370966684394,-3.700167969278164,2025-11,2.65482759475708,0.03318601846694946,2073.983642578125,-7.237160777645921,-0.6159019547877851
C14,525,1762084800000000000,2025-11,0.08924702554941177,-0.8428542613983154,1813.196533203125,0.38906821812190584,-0.3699599363045494,2025-11,-0.41130638122558594,0.9444188475608826,2093.64501953125,-0.4300306815974977,0.9863541181435977
C14,522,1762128000000000000,2025-11,1.8533458709716797,-0.2668974697589874,1264.000244140625,-0.20296538127191333,-1.473372636551753,2025-11,3.4570889472961426,-0.39802563190460205,2269.277099609375,-1.024256968884049,1.3249220235414045
C14,524,1762128000000000000,2025-11,2.3710854053497314,-1.1735198497772217,1801.5592041015625,-3.8542882445784565,0.1981961560775774,2025-11,3.13539457321167,-0.5192689299583435,1947.5455322265625,-3.7258549220317687,0.5082616031339585
C14,525,1762128000000000000,2025-11,0.12513618171215057,-0.679777979850769,1702.2978515625,-0.28282252462754437,0.13188231475227039,2025-11,0.30763792991638184,0.3005140423774719,2142.625244140625,-1.0316867081483105,0.48108343332601056
C14,527,1762128000000000000,2025-11,5.18113899230957,-2.552401304244995,2709.283203125,5.190802755229505,2.173735392254578,2025-11,4.527398586273193,-2.3667099475860596,2302.75,5.8593289311081715,1.848775590862735
C14,804,1762128000000000000,2025-11,3.273662805557251,-7.1990766525268555,1078.843505859375,-3.8341059441648304,-3.9257020249262675,2025-11,3.6878299713134766,-7.201144218444824,2513.04296875,-0.48520286436794946,-2.7554685509259267
C14,826,1762128000000000000,2025-11,2.0251245498657227,5.966169834136963,1968.6494140625,2.786865254807818,7.819347388732239,2025-11,1.9633865356445312,5.972812652587891,1167.000244140625,1.8186118352945044,4.7775510236467715
C14,525,1762171200000000000,2025-11,0.281169593334198,-1.1624367237091064,1053.3099365234375,-0.447869237281563,-5.119169248186699,2025-11,0.7585232257843018,-0.6884216070175171,1797.820068359375,-0.4788041157773366,-1.6692072089167023
C14,530,1762171200000000000,2025-11,-0.9706052541732788,-0.276912659406662,2497.8603515625,-5.251945135167123,-0.6317267099508987,2025-11,-1.7049825191497803,1.3178050518035889,2744.5478515625,-5.856197803325697,-1.068850916803631
C14,532,1762171200000000000,2025-11,1.199391484260559,-5.262823104858398,2997.717529296875,-0.42299113357740237,-7.5376628984694864,2025-11,0.46988987922668457,-4.331777572631836,2749.9423828125,-0.9886500957339636,-7.989214095258244
C14,812,1762171200000000000,2025-11,3.3076627254486084,3.733410120010376,2045.6229248046875,1.1458627756346815,-2.6366367122982126,2025-11,2.543588161468506,3.286283016204834,1042.2510986328125,0.06963810460922566,-2.9632444598794327
C14,522,1762214400000000000,2025-11,4.838154315948486,-3.0071945190429688,3967.078369140625,2.8278390367075783,4.700309031706349,2025-11,3.323953151702881,-1.0734224319458008,2134.730224609375,0.4440956282552005,3.242675649754064
